ID	TIMESTAMP	DIA	MES	AÑO	ESTADO	Municipio	DE	PF	MIF	MAF	PFF	AFIF	PEF	PMF	PMUF	AMPF	DOF	CIF	PL	MIL	MAL	PFL	AFIFL	PEL	PML	PMUL	AMPL	DOL	CIL	ARL	ARC	CARG	CART	VE	AC	AP	DEL	TOR	DTRA	PRE	FCRU	ELE	TAX	DRO	VEH	VAL
43	1179118810	14	5	2007	13	51	6	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	7	2	9999	9999	9999	0	0	0	0	117	0	1	0	0	0	0	0
44	1179291610	16	5	2007	26	6	12	23	9999	9999	9999	9999	9999	9999	5	9999	16	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	13	0	0	0	0	119	0	0	0	0	0	0	1
45	1179378010	17	5	2007	5	35	1	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	0	0	0	0	120	0	0	0	0	0	0	0
46	1179464410	18	5	2007	26	19	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	121	0	1	0	0	0	0	0
47	1179637210	20	5	2007	20	413	9999	1	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	123	0	0	0	0	0	0	1
48	1179723610	21	5	2007	16	6	6	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9	2	65	2438	4	0	0	0	0	124	0	1	0	0	0	0	0
49	1179723610	21	5	2007	10	23	9999	3	9999	9999	9999	9999	9999	9999	9999	9999	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	124	0	1	0	0	0	0	0
50	1179982810	24	5	2007	16	38	7	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	6	9	37	840	2	0	0	0	0	127	0	1	0	0	1	0	1
51	1180155610	26	5	2007	2	1	3	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	1	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	1	0	0	129	0	1	0	0	0	0	0
52	1180155610	26	5	2007	7	65	1	1	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	2	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	1	25	9999	0	0	0	0	129	0	0	0	0	0	0	1
53	1180328410	28	5	2007	7	65	9999	1	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	131	0	0	0	0	0	1	0
54	1180414810	29	5	2007	2	4	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	2	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	132	0	1	0	0	0	0	0
55	1180587610	31	5	2007	25	16	6	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	3	3	9999	9999	9999	9999	9999	9999	9999	9999	9999	3	2	4	99	9999	0	0	0	0	134	0	0	0	0	0	0	0
56	1180674010	1	6	2007	25	16	9999	3	2	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	135	0	0	0	0	0	0	0
