"","muncode","year","name1","name2","lastn1","lastn2","party_mixed","fed_party"
"9326",20158,"2010","PLACIDO","PEREZ","RUIZ"," HERNÁNDEZ","UYC",0
"9327",20158,"2011","MATIAS","RAMIREZ","RUIZ"," HERNÁNDEZ","UYC",0
"9328",20158,"2012","MATIAS","RAMIREZ","RUIZ"," HERNÁNDEZ","UYC",0
"9329",20158,"2013","ABEL",""," TORRES"," AVENDAÑO","UYC",0
"9330",20159,"2006","ZENON","JUAREZ","LOPEZ"," AVENDAÑO","UYC",0
"9331",20159,"2007","ZENON","JUAREZ","LOPEZ"," AVENDAÑO","UYC",0
"9332",20159,"2008","SALUSTIANO","JUAREZ","LOPEZ"," AVENDAÑO","UYC",0
"9333",20159,"2009","SALUSTIANO","JUAREZ","LOPEZ"," AVENDAÑO","UYC",0
"9334",20159,"2010","SALUSTIANO","JUAREZ","LOPEZ"," AVENDAÑO","UYC",0
"9335",20159,"2011","EFRAIN","RAMIRO","CRUZ","MARTINEZ","UYC",0
"9336",20159,"2012","EFRAIN","RAMIRO","CRUZ","MARTINEZ","UYC",0
"9337",20159,"2013","MODESTO","","PÉREZ"," CRUZ","UYC",0
"9338",20160,"2006","TOMAS","DELFINO","MARTINEZ","CEDILLO","PRI",0
"9339",20160,"2007","TOMAS","DELFINO","MARTINEZ","CEDILLO","PRI",0
"9340",20160,"2008","SILVIO","GUADALUPE","GONZALEZ","CEDILLO","PRI",0
"9341",20160,"2009","SILVIO","GUADALUPE","GONZALEZ","CEDILLO","PRI",0
"9342",20160,"2010","SILVIO","GUADALUPE","GONZALEZ","CEDILLO","PRI",0
"9343",20160,"2011","BENJAMIN","LOPEZ","MARTINEZ","CEDILLO","PRI",0
"9344",20160,"2012","BENJAMIN","LOPEZ","MARTINEZ","CEDILLO","PRI",0
"9345",20160,"2013","BENJAMIN","LOPEZ","MARTINEZ","CEDILLO","PRI",1
"9346",20161,"2006","EFRAIN","DELAROSA","PUESTO"," MARTÍNEZ","UYC",0
"9347",20161,"2007","EFRAIN","DELAROSA","PUESTO"," MARTÍNEZ","UYC",0
"9348",20161,"2008","GUILLERMO","ROSAS","PACHECO"," MARTÍNEZ","UYC",0
"9349",20161,"2009","GUILLERMO","ROSAS","PACHECO"," MARTÍNEZ","UYC",0
