"","muncode","longitud","km","AREA","sqkm","densidad","densidad_r"
"1921",26033,433687.495158858,433.687495158858,1890373983.89087,1890.37398389087,22.9418886873496,976
"1922",26034,18356.6472401138,18.3566472401138,421512726.678467,421.512726678467,4.35494495854603,111
"1923",26035,147239.064491294,147.239064491294,2182169917.89648,2182.16991789648,6.74736936311662,212
"1924",26036,188628.731554995,188.628731554995,1245712724.56885,1245.71272456885,15.142233665493,615
"1925",26037,72194.1907361351,72.1941907361351,681707919.946777,681.707919946777,10.5901939267145,391
"1926",26038,125328.784453326,125.328784453326,1879149189.4812,1879.1491894812,6.66944302000457,208
"1927",26039,68415.6601612038,68.4156601612038,1247615376.41968,1247.61537641968,5.48371408803396,167
"1928",26040,147958.076771,147.958076771,2834127655.17041,2834.12765517041,5.22058618287976,151
"1929",26041,119279.996730698,119.279996730698,1742676823.75708,1742.67682375708,6.84464239752381,218
"1930",26042,693029.983658591,693.029983658591,2788837526.28491,2788.83752628491,24.8501383507198,1039
"1931",26043,253941.940807265,253.941940807265,1769331181.33301,1769.33118133301,14.3524255654583,574
"1932",26044,58141.8830255098,58.1418830255098,532283102.425049,532.283102425049,10.9231126745559,410
"1933",26045,179344.884372518,179.344884372518,2228852737.85034,2228.85273785034,8.04651116365322,267
"1934",26046,155160.827122174,155.160827122174,921158043.474609,921.158043474609,16.8441048983199,698
"1935",26047,346792.074265177,346.792074265177,9837385513.13818,9837.38551313818,3.52524635536569,75
"1936",26048,375189.228288903,375.189228288903,6248859013.32104,6248.85901332104,6.00412375265774,184
"1937",26049,207161.126676985,207.161126676985,3758167021.60669,3758.16702160669,5.51229164339853,169
"1938",26050,54450.5804804579,54.4505804804579,879898137.076904,879.898137076904,6.18828227791768,190
"1939",26051,222582.707538034,222.582707538034,3503111137.67578,3503.11113767578,6.35385800764834,195
"1940",26052,215697.920102505,215.697920102505,4995163985.82495,4995.16398582495,4.31813491438125,110
"1941",26053,729.3009753591,0.7293009753591,151562870.117676,151.562870117676,0.481187097336477,7
"1942",26054,28189.480581988,28.189480581988,534304177.959961,534.304177959961,5.27592366760427,155
"1943",26055,577903.264240554,577.903264240554,8978652014.53296,8978.65201453296,6.43641454535884,200
"1944",26056,102549.875818082,102.549875818082,1115505484.35523,1115.50548435523,9.19313058127699,316
"1945",26057,52672.4461311276,52.6724461311276,2227647611.20288,2227.64761120288,2.36448735725691,36
"1946",26058,119356.361019071,119.356361019071,1482243093.31665,1482.24309331665,8.05241471909985,268
"1947",26059,40184.6229612781,40.1846229612781,1008429867.36743,1008.42986736743,3.98487036745376,97
"1948",26060,52350.6022352863,52.3506022352863,1363971208.86963,1363.97120886963,3.83810170587626,88
"1949",26061,104982.693318711,104.982693318711,1712531918.03809,1712.53191803809,6.13026199470674,187
"1950",26062,26302.8968635248,26.3028968635248,911390026.021973,911.390026021973,2.88601982823221,56
"1951",26063,35649.7188277412,35.6497188277412,778599987.506592,778.599987506592,4.5786950166679,122
"1952",26064,47771.8320242939,47.7718320242939,3020190615.05396,3020.19061505396,1.58174890638287,21
"1953",26065,48544.0485379741,48.5440485379741,1735694562.69458,1735.69456269458,2.79680823926831,50
"1954",26066,213012.767921058,213.012767921058,3086301465.04736,3086.30146504736,6.90187819736493,225
"1955",26067,36960.0230419211,36.9600230419211,1475768744.31421,1475.76874431421,2.50445899361397,42
"1956",26068,82372.1766375662,82.3721766375662,1121585110.38818,1121.58511038818,7.34426445881195,237
"1957",26069,302446.867661878,302.446867661878,2658000553.46558,2658.00055346558,11.3787360678891,425
"1958",26070,189679.982285856,189.679982285856,3692852049.51758,3692.85204951758,5.13640892574168,147
"1959",26071,59562.1358436178,59.5621358436178,366865231.959229,366.865231959229,16.2354267057493,664
"1960",26072,116204.6605117,116.2046605117,1374647942.81543,1374.64794281543,8.45341246237201,286
"1961",27001,568503.765934458,568.503765934458,3573570649.00635,3573.57064900635,15.9085637803896,642
"1962",27002,1074335.63232366,1074.33563232366,2044437064.74683,2044.43706474683,52.5492151775627,1840
"1963",27003,389160.467661992,389.160467661992,2685617864.43481,2685.61786443481,14.4905376455667,585
"1964",27004,1126430.14791478,1126.43014791478,1714767429.37793,1714.76742937793,65.6899663835707,2019
"1965",27005,664138.821451292,664.138821451292,766163625.579834,766.163625579834,86.6836794749516,2198
"1966",27006,678376.05784059,678.37605784059,597525984.748291,597.525984748291,113.530804543397,2307
"1967",27007,114016.787515306,114.016787515306,591887847.455811,591.887847455811,19.2632418464747,826
"1968",27008,1359147.15114545,1359.14715114545,3713498279.77197,3713.49827977197,36.6001825973354,1464
"1969",27009,345391.960281782,345.391960281782,591798404.35083,591.79840435083,58.3631111105576,1924
"1970",27010,306617.311672097,306.617311672097,368731960.448486,368.731960448486,83.1545253899772,2187
"1971",27011,271016.438335897,271.016438335897,1641522697.67847,1641.52269767847,16.5100634136332,682
"1972",27012,652399.986196709,652.399986196709,2426156820.84985,2426.15682084985,26.8902644952761,1126
"1973",27013,296757.645546152,296.757645546152,534075359.906494,534.075359906494,55.5647513111461,1882
"1974",27014,274336.185638976,274.336185638976,406845329.960205,406.845329960205,67.4300933147765,2041
"1975",27015,241797.742917577,241.797742917577,734525528.941406,734.525528941406,32.9189025282831,1345
"1976",27016,198050.039492404,198.050039492404,420624754.248291,420.624754248291,47.0847322921695,1726
"1977",27017,322020.221485854,322.020221485854,1882857406.34277,1882.85740634277,17.1027407811694,714
"1978",28001,244207.660307668,244.207660307668,1838876980.64526,1838.87698064526,13.2802608808543,521
"1979",28002,472718.511608987,472.718511608987,3778226876.13769,3778.22687613769,12.5116496998779,480
"1980",28003,555243.450650538,555.243450650538,1644381754.3064,1644.3817543064,33.7660916752717,1372
"1981",28004,89078.7810561677,89.0787810561677,576084467.892822,576.084467892822,15.462798603475,629
"1982",28005,187174.509622512,187.174509622512,1885430008.13648,1885.43000813648,9.92741755539956,348
"1983",28006,242210.803129706,242.210803129706,1434404423.71997,1434.40442371997,16.8858098263221,700
"1984",28007,161453.291774762,161.453291774762,922276784.160156,922.276784160156,17.5059477314919,734
"1985",28008,300197.322466242,300.197322466242,2981276446.80591,2981.27644680591,10.0694225383851,359
"1986",28009,63074.0648468609,63.0740648468609,47925013.986328,47.925013986328,131.609903890387,2351
"1987",28010,138691.677481232,138.691677481232,1869583445.05981,1869.58344505981,7.41831972505486,246
"1988",28011,153677.490126681,153.677490126681,722435812.028809,722.435812028809,21.272130695613,903
"1989",28012,597488.351477201,597.488351477201,3207913075.97656,3207.91307597656,18.6254532877364,785
"1990",28013,267651.613703218,267.651613703218,1196249762.73706,1196.24976273706,22.374225018931,947
"1991",28014,132975.106881801,132.975106881801,2423394333.96191,2423.39433396191,5.48714276575884,168
"1992",28015,97408.2678440804,97.4082678440804,428662151.655762,428.662151655762,22.7237854958336,967
"1993",28016,284300.035221898,284.300035221898,2113151877.39355,2113.15187739355,13.4538382339354,533
"1994",28017,241498.30511376,241.49830511376,2634416022.67651,2634.41602267651,9.16705269915577,315
"1995",28018,126146.899159664,126.146899159664,1651734730.11743,1651.73473011743,7.63723719429784,254
"1996",28019,266498.700104884,266.498700104884,2540737787.39331,2540.73778739331,10.4890280857475,384
"1997",28020,51761.7573628935,51.7617573628935,360387355.986572,360.387355986572,14.3628117088609,575
"1998",28021,643311.602843714,643.311602843714,1619895811.91968,1619.89581191968,39.7131468647572,1551
"1999",28022,744061.412301525,744.061412301525,4588933981.04443,4588.93398104443,16.2142540157481,663
"2000",28023,258958.110657045,258.958110657045,2507734168.53442,2507.73416853442,10.3263780470155,376
"2001",28024,96528.3727307241,96.5283727307241,915175795.350586,915.175795350586,10.5475224783175,387
"2002",28025,120489.487937751,120.489487937751,633329609.102051,633.329609102051,19.0247678627537,813
"2003",28026,172711.445019776,172.711445019776,875758428.283691,875.758428283691,19.7213568767195,844
"2004",28027,400251.030100587,400.251030100587,1216470575.65137,1216.47057565137,32.9026478824833,1343
"2005",28028,38573.6728770646,38.5736728770646,299828340.337891,299.828340337891,12.8652524419787,497
"2006",28029,178409.12627804,178.40912627804,1461323782.68823,1461.32378268823,12.2087335053044,465
"2007",28030,177214.970231814,177.214970231814,1344262844.90625,1344.26284490625,13.1830594666308,514
"2008",28031,47313.8702403813,47.3138702403813,474791645.913086,474.791645913086,9.96518591842335,353
"2009",28032,682829.095776153,682.829095776153,3117631649.93604,3117.63164993604,21.9021735871254,931
"2010",28033,443479.266903964,443.479266903964,1568816702.5127,1568.81670251269,28.2683927442681,1192
"2011",28034,386280.547308463,386.280547308463,2884190713.83838,2884.19071383838,13.3930306846591,529
"2012",28035,695675.827283046,695.675827283046,6847454482.86328,6847.45448286328,10.1596268952802,365
"2013",28036,55614.8601033169,55.6148601033169,538932122.033203,538.932122033203,10.3194554248319,374
"2014",28037,465957.455920858,465.957455920858,6642845434.95972,6642.84543495972,7.01442567771687,228
